never,rarely,sometimes,frequently,always,county_fips
3142.0,3142.0,3142.0,3142.0,3142.0,
0.07993952896244408,0.082918523233609,0.12131795035009539,0.2077246976448125,0.5080935709739013,
0.058537945175000175,0.05546375104248925,0.05801060230797288,0.06357109360804136,0.15219061391579555,
0.0,0.0,0.001,0.029,0.115,
0.034,0.04,0.079,0.164,0.39325,
0.068,0.073,0.115,0.204,0.497,
0.113,0.115,0.156,0.247,0.61375,
0.432,0.384,0.422,0.549,0.889,
0.02,0.037,0.086,0.181,0.677,47037
